text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,,,accuracy,possible
Ontario’s Libraries Working Together,"[0, 0, 100, 20]",1,15.96,4,0,0.0165,0,0.8,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0.999984577,Title/Heading,,,FALSE,TRUE
RFP: Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library,"[0, 0, 100, 20]",1,28.02,18,0,0.0475,0.111111111,0.666666667,0,0,-20,0,1,0,8.04,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,Title/Heading,,,TRUE,TRUE
"March 21, 2003","[0, 0, 100, 20]",1,20.04,3,0,0.006,0,0.333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,Title/Heading,,,FALSE,TRUE
"The Ontario Digital Library will make Ontario a better place to study, work and live by ensuring that all Ontario citizens have access to the knowledge and learning supports needed to be life-long learners and effective contributors towards Ontario’s prosperity.","[0, 0, 100, 20]",1,9.96,40,0,0.1115,0.142857143,0.166666667,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
Ontario’s Digital Library,"[0, 0, 100, 20]",2,20.04,3,0,0.0115,0.2,0.75,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,Title/Heading,,,TRUE,TRUE
A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy,"[0, 0, 100, 20]",2,15.96,11,0,0.0345,0.076923077,0.75,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,Title/Heading,,,TRUE,TRUE
Summary,"[0, 0, 100, 20]",2,12,1,0,0.0035,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0.999063414,Title/Heading,,,TRUE,TRUE
"The purpose of this Request for Proposal  RFP  is to invite firms and/or consultants to present a proposal for developing the business plan for the Ontario Digital Library ODL. The ODL will deliver high-quality library electronic content to all Ontario residents in order to assist people as they learn, work, and enhance their quality of life. The business plan to be developed is to document and clearly communicate:","[0, 0, 100, 20]",2,11.04,68,0,0.1745,0.176470588,0.171428571,1,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"how the ODL will be implemented, including the timeline the financial plan for the implementation the financial plan for the first 2 operating years, including capital and operating costs, revenues, etc.","[0, 0, 100, 20]",2,11.04,31,0,0.0865,0.129032258,0.032258065,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999999988,Text/Paragraph,,,TRUE,FALSE
"a financial forecast for the succeeding 2 operating years the services and products to be delivered by the ODL how the ODL will operate and be managed following the implementation who will be involved, and what their role/responsibility will be, for both the implementation and operational stages the marketing and communications plan for the ODL","[0, 0, 100, 20]",2,11.04,55,0,0.146,0.181818182,0.053571429,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
